Document ID,Positive Confidence,Negative Confidence
16,0.8947368421052632,0.10526315789473684
20,1.0,0.0
33,1.0,0.0
42,0.8170731707317073,0.18292682926829268
53,1.0,0.0
58,0.9090909090909091,0.09090909090909091
68,0.0,1.0
71,0.3,0.7
79,0.8170731707317073,0.18292682926829268
94,1.0,0.0
102,0.14285714285714285,0.8571428571428571
110,0.9090909090909091,0.09090909090909091
114,0.8947368421052632,0.10526315789473684
126,0.0,1.0
130,0.8170731707317073,0.18292682926829268
138,0.0,1.0
139,0.875,0.125
141,0.8170731707317073,0.18292682926829268
143,0.9090909090909091,0.09090909090909091
146,0.16666666666666666,0.8333333333333334
156,0.8170731707317073,0.18292682926829268
158,1.0,0.0
177,0.8170731707317073,0.18292682926829268
183,0.8947368421052632,0.10526315789473684
185,0.8947368421052632,0.10526315789473684
189,0.8170731707317073,0.18292682926829268
194,0.8947368421052632,0.10526315789473684
195,1.0,0.0
198,0.8170731707317073,0.18292682926829268
210,0.8170731707317073,0.18292682926829268
212,0.8947368421052632,0.10526315789473684
216,0.16666666666666666,0.8333333333333334
219,0.8947368421052632,0.10526315789473684
222,1.0,0.0
233,0.8947368421052632,0.10526315789473684
252,0.8947368421052632,0.10526315789473684
266,1.0,0.0
275,0.8947368421052632,0.10526315789473684
277,0.8170731707317073,0.18292682926829268
286,0.16666666666666666,0.8333333333333334
291,0.3,0.7
295,0.8170731707317073,0.18292682926829268
300,0.8170731707317073,0.18292682926829268
301,0.8170731707317073,0.18292682926829268
317,0.8170731707317073,0.18292682926829268
318,0.16666666666666666,0.8333333333333334
321,0.8170731707317073,0.18292682926829268
327,0.9090909090909091,0.09090909090909091
332,0.8947368421052632,0.10526315789473684
335,0.8947368421052632,0.10526315789473684
341,0.8947368421052632,0.10526315789473684
342,0.9090909090909091,0.09090909090909091
348,0.8170731707317073,0.18292682926829268
355,0.16666666666666666,0.8333333333333334
383,0.8170731707317073,0.18292682926829268
388,0.9090909090909091,0.09090909090909091
394,0.9090909090909091,0.09090909090909091
396,0.8170731707317073,0.18292682926829268
399,0.8170731707317073,0.18292682926829268
412,0.8170731707317073,0.18292682926829268
414,1.0,0.0
417,1.0,0.0
421,0.9090909090909091,0.09090909090909091
426,1.0,0.0
433,0.9090909090909091,0.09090909090909091
443,0.8947368421052632,0.10526315789473684
451,0.8170731707317073,0.18292682926829268
461,0.9090909090909091,0.09090909090909091
466,0.875,0.125
467,0.16666666666666666,0.8333333333333334
474,0.8947368421052632,0.10526315789473684
478,0.16666666666666666,0.8333333333333334
480,0.8170731707317073,0.18292682926829268
482,0.8170731707317073,0.18292682926829268
491,0.875,0.125
501,0.8170731707317073,0.18292682926829268
511,0.9090909090909091,0.09090909090909091
515,0.8947368421052632,0.10526315789473684
530,0.3,0.7
540,0.8170731707317073,0.18292682926829268
543,0.9090909090909091,0.09090909090909091
559,0.8947368421052632,0.10526315789473684
588,0.8947368421052632,0.10526315789473684
597,0.9090909090909091,0.09090909090909091
616,1.0,0.0
631,0.16666666666666666,0.8333333333333334
636,0.8170731707317073,0.18292682926829268
641,0.9090909090909091,0.09090909090909091
650,0.8947368421052632,0.10526315789473684
654,0.16666666666666666,0.8333333333333334
656,0.8170731707317073,0.18292682926829268
661,0.16666666666666666,0.8333333333333334
666,0.8947368421052632,0.10526315789473684
680,0.8947368421052632,0.10526315789473684
683,0.8170731707317073,0.18292682926829268
705,0.9090909090909091,0.09090909090909091
717,0.8170731707317073,0.18292682926829268
722,0.8947368421052632,0.10526315789473684
732,0.8170731707317073,0.18292682926829268
742,0.8170731707317073,0.18292682926829268
752,0.16666666666666666,0.8333333333333334
757,0.8947368421052632,0.10526315789473684
759,0.8170731707317073,0.18292682926829268
760,0.9090909090909091,0.09090909090909091
773,0.8170731707317073,0.18292682926829268
